t,B_geo,B_drift,B_ou,B_spoof,B_total,phi,decoherence_envelope,P_clean,P_noisy,shot_counts,NN_recovered,Ablation_PINN_recovered,Bayesian_PINN_mean,Bayesian_PINN_std,Bayesian_PINN_phi,Probability_Inversion,Moving_Average,Kalman_Filter
0.0,0.1602351621852812,0.0,0.0,0.0,0.1602351621852812,0.0032047032437056,0.86,0.0700022080745294,0.0696477870948667,21,0.33019307,0.11424981,0.3299249,0.16234687,-0.1452394,2.340946867278387,0.0251549588829323,2.2295262643617573
0.01,0.1780063527981066,0.0001279645233995,0.0089408547542021,0.0,0.1870751720757083,0.0069462066852197,0.8598566786104476,0.0700820326285383,0.0820328935232208,24,0.4085247,0.17248176,0.32896414,0.16220847,-0.14002736,0.06369957751803934,0.0930270292771021,1.167359735766176
0.02,0.1947598659360078,0.0002559286213934,0.0063313957939391,0.0,0.2013471903513404,0.0109731504922465,0.8597133811058029,0.0701691887162934,0.0702977788186651,15,0.32784235,0.114478275,0.32781208,0.16135262,-0.13478824,0.4835577370551125,0.08811901737531576,0.9392978757710855
0.03,0.2104584518435502,0.0003838918685781,0.0179043156365334,0.0,0.2287466593486618,0.0155480836792198,0.8595701074820856,0.0702668939563895,0.0874185626183159,21,0.4364277,0.19508624,0.32689232,0.16135883,-0.12959488,2.9193021408190885,0.10529594844338547,1.445558693355971
0.04,0.2250743723604317,0.0005118538395543,0.0450771447907846,0.0,0.2706633709907708,0.0209613510990352,0.8594268577353157,0.0703809710408454,0.1030088768702914,21,0.5313323,0.26647273,0.32596287,0.16131693,-0.12440512,-1.90973199444196,0.14387688118812625,0.7412325815742166
0.05,0.2385895413808922,0.0006398141089287,0.040253842591089,0.0,0.27948319808091,0.0265510150606534,0.8592836318615141,0.0705096145470243,0.0670667711281595,12,0.29629502,0.0944004,0.32462257,0.15975276,-0.11915269,-3.7233471813948427,0.10711425090698536,-0.06360082883394991
0.06,0.2509955655464329,0.0007677722513162,0.035495950491024,0.0,0.2872592882887733,0.0322962008264289,0.8591404298567025,0.070653796043399,0.0622993084382385,17,0.2610298,0.069682755,0.32353383,0.15911347,-0.11394787,2.357116044210952,0.07625021221275834,0.3233630086803374
0.07,0.2622936850246432,0.0008957278413421,0.0634425858385283,0.0,0.3266319987045136,0.0388288408005191,0.8589972517169028,0.0708251064679325,0.0925388536608338,16,0.45500365,0.21313855,0.3227243,0.15951864,-0.10879328,0.05104869190784844,0.160889800676886,0.2838248078705375
0.08,0.2724946152915541,0.0010236804536439,0.0763999360544605,0.0,0.3499182317996587,0.0458272054365123,0.8588540974381379,0.071023799275377,0.0627937560382229,16,0.25777808,0.06922185,0.32144082,0.15814248,-0.10357052,0.11847602825435233,0.140434637486136,0.26161119593704263
0.09,0.2816182918891497,0.0011516296628738,0.0669179979708961,0.0,0.3496879195229198,0.0528209638269707,0.8587109670164313,0.0712433397824759,0.0939167275870917,27,0.45660207,0.21653533,0.32064122,0.15857725,-0.098427474,0.7748407021432813,0.043043670587153665,0.3263483620310043
0.1,0.2896935211621699,0.0012795750437002,0.0757806857828364,0.0,0.3667537819887065,0.0601560394667448,0.8585678604478073,0.0714925709848413,0.070521321609073,20,0.3025111,0.10387311,0.31941167,0.15739705,-0.0932256,-3.742651551692354,0.08976958250910402,-0.16121695248469214
0.11,0.2967575409780569,0.0014075161708099,0.0664161280541438,0.0,0.3645811852030107,0.0674476631708051,0.8584247777282905,0.0717635248510061,0.0549505487365269,21,0.19508609,0.026437998,0.31824794,0.15644668,-0.08804348,4.610515918778102,0.1168145894796692,0.3870870071402589
0.12,0.302855496390118,0.0015354526189107,0.0571363747611482,0.0,0.361527323770177,0.0746782096462086,0.8582817188539065,0.0720552084434451,0.1247529780989913,27,0.6326009,0.3520986,0.3177595,0.15801856,-0.08296213,3.0100025113415128,0.14137253326046417,0.6783286384691851
0.13,0.3080398361064566,0.0016633839627326,0.0607203545900614,0.0,0.3704235746592506,0.0820866811393936,0.8581386838206813,0.0723754290519195,0.0855433938685263,17,0.3895616,0.17117955,0.3164079,0.15639472,-0.077759765,-4.298367400594821,0.10435004451533995,0.14099937322379108
0.14,0.3123696364662878,0.0017913097770305,0.0254615853992552,0.0,0.3396225316425735,0.0888791317722451,0.8579956726246419,0.0726954827672436,0.0737514107342401,22,0.31018788,0.113583766,0.315278,0.15556774,-0.072600126,-1.6919493849508775,0.11609646616579626,-0.05241498276072737
0.15,0.3159098603919157,0.001919229636586,-0.0059306669888693,0.0,0.3118984230396324,0.0951171002330377,0.8578526852618157,0.0730124996022125,0.0675778885394171,18,0.26638356,0.08238786,0.31419435,0.15490857,-0.06745292,1.5696857903447574,0.1994670744485315,0.11556618568323407
0.16,0.3187305594707001,0.0020471431162095,-0.015971778510857,0.0,0.3048059240760526,0.1012132187145588,0.8577097217282308,0.073339883968452,0.0909910405293509,23,0.4134459,0.19224216,0.31334344,0.15512708,-0.062341202,-2.2141989314312744,0.1941645459782613,-0.12201732970662638
0.17,0.320906027919441,0.0021750497907422,-0.0339871196669801,0.0,0.2890939580432031,0.1069950978754229,0.857566782019916,0.073668614066037,0.0470695133742946,15,0.122203395,-0.020980023,0.31197086,0.15335079,-0.057174187,-0.9370386506967698,0.17932028408542505,-0.20409094752616813
0.18,0.3225139176873524,0.0023029492350584,-0.0278718415647609,0.0,0.2969450253576499,0.1129339983825759,0.8574238661329008,0.0740190773111958,0.080501275624746,26,0.34007,0.13989267,0.3111988,0.15387814,-0.052081473,1.4360865801611056,0.16908822967986992,-0.04061799239771624
0.19,0.3236343243578133,0.0024308410240671,-0.0438400050630185,0.0,0.2822251603188619,0.1185785015889531,0.8572809740632151,0.0743695107193536,0.059975708754677,16,0.2028178,0.039720558,0.31001157,0.15280299,-0.04695039,-1.7444387810242183,0.12505839630570595,-0.20900563272534206
0.2,0.3243488538090425,0.0025587247327145,-0.068669631618703,0.0,0.2582379469230542,0.1237432605274142,0.85713810580689,0.074707971512043,0.062553296846489,17,0.21662357,0.05084305,0.3090045,0.15241562,-0.041846007,2.08424388702938,0.07586028929340312,0.016072305260444203
0.21,0.3247396797865737,0.0026865999359859,-0.0413609137512625,0.0,0.2860653659712971,0.1294645678468401,0.8569952613599567,0.0750883966322695,0.0812765651081346,22,0.33464968,0.13912389,0.3081236,0.1525075,-0.036760334,1.038316105136744,0.010866961622516661,0.11583664748493203
0.22,0.3248886026238476,0.0028144662089075,-0.0448665148243781,0.0,0.2828365540083771,0.1351212989270077,0.8568524407184476,0.0754788853871691,0.0729850927512115,18,0.27810046,0.09823622,0.30703598,0.15180333,-0.031660922,1.2348580921878654,-0.051484428863803194,0.22454027010994948
0.23,0.3248761193205249,0.0029423231265489,-0.0430453091898664,0.0,0.2847731332572076,0.1408167615921518,0.856709643878395,0.0758851658149436,0.0952792359023119,20,0.4151812,0.20155549,0.30618653,0.15199947,-0.026592027,-0.23278447690591175,-0.03399576905657701,0.18028347586879706
0.24,0.3247805150515866,0.003070170264025,-0.0681096648676454,0.0,0.2597410204479662,0.1460115820011111,0.8565668708358327,0.0762738285386362,0.0705816373636992,19,0.25579554,0.083831996,0.30497542,0.15081945,-0.02149373,-0.6323806888969025,-0.02676542017738091,0.10188369393136588
0.25,0.3246769859353957,0.0031980071964978,-0.0769890734333854,0.0,0.250885919698508,0.1510293003950813,0.8564241215867946,0.0766623895203651,0.0879828159846563,22,0.36290348,0.16466923,0.30409065,0.15087754,-0.016434824,0.06241794881798046,-0.004049306740674407,0.09808602320057556
0.26,0.3246368025383379,0.0033258334991787,-0.0739531143272572,0.0,0.2540095217102594,0.1561094908292865,0.8562813961273155,0.0770656472128341,0.0712224462849392,16,0.2531776,0.084004804,0.30294505,0.14993452,-0.011359742,-2.9573749714141853,0.07860607346094975,-0.19531893651553967
0.27,0.324726523141199,0.0034536487473306,-0.0936726316774406,0.0,0.234507540211089,0.1607996416335083,0.8561386944534307,0.077452931298842,0.0574309651181529,13,0.15972573,0.015983775,0.30182526,0.14907795,-0.006295127,-0.828144273565587,0.09892105176705565,-0.2559831302620107
0.28,0.3250072652429926,0.0035814525162698,-0.0856454868195731,0.0,0.2429432309396894,0.165658506252302,0.8559960165611764,0.0778612928857352,0.0629394177066259,18,0.19268465,0.041301135,0.30085355,0.14879493,-0.0012481927,2.171340820520763,0.06582294694899786,-0.023619256282831957
0.29,0.3255340431374297,0.0037092443813682,-0.0953007691660473,0.0,0.2339425183527505,0.1703373566193571,0.8558533624465893,0.0782664294551963,0.0792815254773684,20,0.29435697,0.117908716,0.29996556,0.14883164,0.003784874,0.6174862759198263,0.0023064896375576053,0.03768247995148447
0.3,0.3263551786725454,0.0038370239180551,-0.0992646962785847,0.0,0.2309275063120158,0.1749559067455974,0.8557107321057068,0.0786761820011891,0.0690704778420286,16,0.22579944,0.0679313,0.2988777,0.14808977,0.00882448,-1.8268891628923893,0.07565152110020337,-0.14043841049643546
0.31,0.3275117915029722,0.0039647907018195,-0.1087553418989529,0.0,0.2227212403058387,0.1794103315517141,0.8555681255345668,0.0790822607975607,0.0606785339498706,19,0.16795789,0.026101977,0.2978057,0.1474021,0.013854611,1.8836859879364536,0.21545904281859807,0.05277591996550854
0.32,0.3290373742756053,0.0040925443082121,-0.0739461374621562,0.0,0.2591837811216613,0.1845940071741474,0.8554255427292082,0.0795537048116662,0.0893812181295581,19,0.34684247,0.16070296,0.29701608,0.14780542,0.018861046,1.1253517232669457,0.03313496730871383,0.15509507146215315
0.33,0.3309574572623092,0.0042202843128474,-0.0731908146516999,0.0,0.2619869269234567,0.1898337457126165,0.8552829836856704,0.0800408223577093,0.0718665668625693,14,0.23357251,0.07694818,0.2958773,0.14685826,0.02388065,-1.4668733466422446,-0.06974207676240816,0.00044588972953224504
0.34,0.3332893659778427,0.0043480102914055,-0.0912415353751081,0.0,0.2463958408941401,0.1947616625304993,0.8551404483999931,0.0805134939203094,0.073357886934666,21,0.23966219,0.08258689,0.29488483,0.14646852,0.028883267,2.8387193318796604,0.1023980283961039,0.2709515114813054
0.35,0.3360420743078433,0.0044757218196344,-0.0752039662296868,0.0,0.2653138298977909,0.2000679391284551,0.8549979368682175,0.081028320076693,0.103886540220178,26,0.42371342,0.22252497,0.29411435,0.1469222,0.033864476,-0.3051522418026975,0.13554859520537235,0.2160640957616784
0.36,0.3392161546314172,0.0046034184733521,-0.0961638983850644,0.0,0.2476556747197049,0.2050210526228492,0.8548554490863843,0.0815240230844818,0.0702073390800523,16,0.21280117,0.0647181,0.29285824,0.14551555,0.038867354,-2.1271356617230395,0.10288614697298966,-0.007117605839326774
0.37,0.3428038253668367,0.0047310998284485,-0.0911061410467804,0.0,0.2564287841485048,0.2101496283058193,0.8547129850505361,0.0820454732717623,0.0793901301240549,22,0.26734886,0.106690474,0.29192778,0.14535618,0.043844484,2.310687403212802,0.16250580619808508,0.21359422411143617
0.38,0.3467890953084065,0.0048587654608873,-0.1251502703724848,0.0,0.226497590396809,0.2146795801137554,0.8545705447567151,0.0825231871786358,0.0956231161482571,23,0.36340106,0.18041128,0.29105297,0.14540078,0.048809923,0.06404350642735257,0.24742852679738214,0.19935603097167187
0.39,0.3511480030691605,0.0049864149467083,-0.1473680906026281,0.0,0.2087663274132407,0.2188549066620203,0.854428128200965,0.0829763999614562,0.0800840675155059,20,0.26472813,0.1070168,0.28993917,0.14452755,0.053778708,-1.7415235908226827,0.21482313254070973,0.01460045213791239
0.4,0.35584894890901,0.0051140478620297,-0.1418351191338484,0.0,0.2191278776371913,0.2232374642147641,0.8542857353793296,0.0834563298809691,0.0761349818683344,24,0.23660527,0.08700824,0.2889151,0.1439914,0.058734648,0.3238244797739709,0.05419073824758041,0.04403226353484069
0.41,0.360853115222442,0.0052416637830494,-0.126627946585624,0.0,0.2394668324198674,0.2280268008631614,0.8541433662878535,0.0839833474160642,0.0836349357917426,20,0.27971774,0.12065174,0.28797802,0.1437897,0.063679636,-0.3237795672279581,0.03643420023826904,0.00902773325641975
0.42,0.3661149709946755,0.0053692622860477,-0.1218338402452986,0.0,0.2496503930354245,0.2330198087238699,0.8540010209225822,0.0845398154231211,0.0727357910047475,22,0.2083814,0.06806927,0.28690523,0.14305621,0.06862007,-2.4927074324210747,0.13752455285739426,-0.2290412865843481
0.43,0.3715828546207178,0.0054968429473891,-0.1222707524849754,0.0,0.2548089450831315,0.2381159876255326,0.8538586992795614,0.0851168524324961,0.0581454342199445,12,0.111805245,-0.0030705482,0.2858075,0.14221469,0.07355058,1.2005927891513861,0.08243420906917276,-0.0930045708334804
0.44,0.377199628627876,0.0056244053435245,-0.1260399638470354,0.0,0.2567840701243651,0.2432516690280199,0.8537164013548381,0.0857085428256363,0.0856954670983933,24,0.28178287,0.1257809,0.28502288,0.14260273,0.078468226,3.2157464448661286,0.0564441893642187,0.2218213791901506
0.45,0.3829033990581471,0.005751949050993,-0.1509518201617141,0.0,0.2377035279474259,0.2480057395869684,0.853574127144459,0.0862709635348671,0.0918145747960662,24,0.3153046,0.15245809,0.2840814,0.14236695,0.08338004,-0.9783713435369934,0.065250900860877,0.10762900365175984
0.46,0.3886282915609958,0.005879473646424,-0.1618711663406358,0.0,0.232636598866784,0.2526584715643041,0.8534318766444726,0.0868317455772482,0.0750610969613589,15,0.20919627,0.0732478,0.2829711,0.14147423,0.08828539,-0.3344765931282523,0.09354849033781854,0.06556646348651513
0.47,0.3943052756269264,0.0060069787065395,-0.1679774034723134,0.0,0.2323348508611525,0.2573051685815271,0.8532896498509271,0.0874006396961589,0.0879878297583461,21,0.28507182,0.13191012,0.2820828,0.14143929,0.09317998,3.1900301547612946,0.11157085412113957,0.36282295311874435
0.48,0.3998630278646422,0.0061344638081559,-0.1466815084534967,0.0,0.2593159832193014,0.2624914882459132,0.8531474467598722,0.0880379340780507,0.1120463129651054,32,0.4229403,0.23879457,0.2812801,0.14171806,0.09806143,-1.305973605632521,0.17396355085922705,0.20406038864225118
0.49,0.4052288247951617,0.0062619285281862,-0.1385161788771422,0.0,0.2729745744462056,0.2679509797348373,0.8530052673673573,0.0887169375430259,0.073758501150411,22,0.19073553,0.0627834,0.28001356,0.14021946,0.1029429,-2.485698721514698,0.21527905167478245,-0.0518270488294178
0.5,0.41032945530964,0.0063893724436418,-0.16838093325883,0.0,0.2483378944944518,0.2729177376247263,0.8528631116694333,0.0893512974680507,0.0826521165365152,23,0.24204251,0.102840535,0.27909896,0.14007355,0.1078109,3.7819869921117575,0.08961054189771273,0.312892586107663
0.51,0.4150921427173715,0.0065167951316348,-0.1602742792107295,0.0,0.2613346586382769,0.2781444307974918,0.8527209796621513,0.0900260017223442,0.1180169790002799,29,0.44536945,0.26022124,0.27838415,0.14067686,0.11266607,1.9894568387618272,0.17070560245978358,0.47238578939563364
